c2328114	26643	1	101.448	gi|344215640|dbj|DF093676.1|	85433
c1480326	218970	1	103.635	gi|344215618|dbj|DF093654.1|	268759
c1060912	292901	1	104.959	gi|344215618|dbj|DF093654.1|	193388
c1443265	359059	1	108.327	gi|344215618|dbj|DF093654.1|	478094
c2335714	105395	2	0	gi|344215815|dbj|DF093851.1|	39122
c753180	80151	2	4.742	gi|344217092|dbj|DF095127.1|	8668
c134077	37998	2	9.069	gi|344215733|dbj|DF093769.1|	88484
c1550546	223810	2	11.547	gi|344216624|dbj|DF094660.1|	104304
c1550546	223791	2	11.988	gi|344216624|dbj|DF094660.1|	104285
c753180	465773	2	13.42	gi|344215606|dbj|DF093642.1|	162730
c1078498	136667	2	18.356	gi|344216153|dbj|DF094189.1|	13315
c1078498	32354	2	21.16	gi|344216426|dbj|DF094462.1|	81188
c1504605	363583	2	23.603	gi|344214550|dbj|DF096757.1|	5239
c851443	139519	2	27.902	gi|344215774|dbj|DF093810.1|	203843
c851443	139507	2	28.385	gi|344215774|dbj|DF093810.1|	203855
c2079967	220807	2	29.998	gi|344215793|dbj|DF093829.1|	204565
c2079967	276495	2	30.362	gi|344215793|dbj|DF093829.1|	259156
c2079967	300858	2	32.163	gi|344215793|dbj|DF093829.1|	292655
c2028425	536243	2	36.309	gi|344216265|dbj|DF094301.1|	20781
c1879802	243081	2	37.067	gi|344215638|dbj|DF093674.1|	242561
c792022	335583	2	37.41	gi|344215579|dbj|DF093615.1|	556304
c1879802	430823	2	37.987	gi|344215638|dbj|DF093674.1|	70420
c792022	71553	2	38.654	gi|344215812|dbj|DF093848.1|	297127
c792022	71546	2	39.419	gi|344215812|dbj|DF093848.1|	297120
c1879802	687075	2	40.137	gi|344215914|dbj|DF093950.1|	74532
c2028425	9350	2	40.635	gi|344216063|dbj|DF094099.1|	191707
c885249	81504	2	42.487	gi|344215881|dbj|DF093917.1|	53111
c1415310	293939	2	45.178	gi|344215709|dbj|DF093745.1|	131541
c1283450	25835	2	45.884	gi|344215720|dbj|DF093756.1|	310201
c1356584	14830	2	46.111	gi|344216659|dbj|DF094695.1|	46701
c1081122	84154	2	46.624	gi|344215578|dbj|DF093614.1|	107010
c1466280	377329	2	46.84	gi|344215581|dbj|DF093617.1|	661414
c1276491	183505	2	46.966	gi|344216267|dbj|DF094303.1|	18481
c2039658	124532	2	47.499	gi|344215578|dbj|DF093614.1|	219091
c977225	49720	2	47.996	gi|344215946|dbj|DF093982.1|	168704
c2048511	24822	2	48.332	gi|344217064|dbj|DF095099.1|	13506
c1276491	102636	2	48.565	gi|344216352|dbj|DF094388.1|	73132
c1081122	122405	2	48.644	gi|344215578|dbj|DF093614.1|	147336
c1466280	77322	2	49.44	gi|344215581|dbj|DF093617.1|	393193
c1501990	80701	2	49.603	gi|344215581|dbj|DF093617.1|	220443
c1466280	233898	2	49.708	gi|344213829|dbj|DF096025.1|	41056
c1081122	92734	2	49.996	gi|344215578|dbj|DF093614.1|	116045
c1246551	22418	2	50.014	gi|344214952|dbj|DF097159.1|	7887
c1081122	98659	2	50.019	gi|344215578|dbj|DF093614.1|	123431
c977225	58810	2	50.585	gi|344215946|dbj|DF093982.1|	177119
c977225	58813	2	50.585	gi|344215946|dbj|DF093982.1|	177120
c2355867	273228	2	51.541	gi|344215739|dbj|DF093775.1|	176459
c1376569	549689	2	51.73	gi|344215789|dbj|DF093825.1|	277321
c2355867	109161	2	52.23	gi|344215739|dbj|DF093775.1|	317839
c1681116	84139	2	52.407	gi|344216267|dbj|DF094303.1|	106820
c2312187	215715	2	53.867	gi|344216428|dbj|DF094464.1|	74715
c1452092	58684	2	54.224	gi|344216661|dbj|DF094697.1|	18292
c1376569	549686	2	54.727	gi|344215789|dbj|DF093825.1|	277318
c657820	53375	2	55.84	gi|344216904|dbj|DF094940.1|	27421
c2037413	16120	2	56.415	gi|344215765|dbj|DF093801.1|	37454
c1272712	65184	2	57.272	gi|344213435|dbj|DF095642.1|	55757
c1193587	53248	2	59.146	gi|344215676|dbj|DF093712.1|	362400
c1771201	115132	2	63.037	gi|344216020|dbj|DF094056.1|	50980
c1193587	272454	2	63.462	gi|344215676|dbj|DF093712.1|	121808
c1193587	272454	2	63.462	gi|344215676|dbj|DF093712.1|	117264
c2076564	289377	2	64.944	gi|344215610|dbj|DF093646.1|	267757
c2076564	289365	2	64.971	gi|344215610|dbj|DF093646.1|	267745
c1953541	265567	2	66.023	gi|344215575|dbj|DF093611.1|	131840
c645139	22731	2	66.044	gi|344216020|dbj|DF094056.1|	116068
c1474709	147032	2	67.746	gi|344216605|dbj|DF094641.1|	93178
c1474709	108735	2	68.565	gi|344216605|dbj|DF094641.1|	128832
c1193587	53254	2	68.978	gi|344215676|dbj|DF093712.1|	362394
c1474709	155186	2	69.393	gi|344216605|dbj|DF094641.1|	85024
c1657122	660776	2	69.841	gi|344216574|dbj|DF094610.1|	67525
c1266025	46017	2	75.273	gi|344215804|dbj|DF093840.1|	199597
c1266025	46017	2	75.273	gi|344215804|dbj|DF093840.1|	170868
c1474709	14126	2	75.495	gi|344215804|dbj|DF093840.1|	196855
c2111098	171021	2	79.471	gi|344216363|dbj|DF094399.1|	61583
c1382470	19185	2	80.056	gi|344216171|dbj|DF094207.1|	106751
c2111098	97673	2	80.112	gi|344216171|dbj|DF094207.1|	5970
c2111098	97675	2	80.49	gi|344216171|dbj|DF094207.1|	5968
c917023	115001	2	81.43	gi|344215608|dbj|DF093644.1|	580005
c917023	164221	2	82.213	gi|344216567|dbj|DF094603.1|	77654
c1098852	170367	2	82.502	gi|344215576|dbj|DF093612.1|	64840
c2111098	185651	2	83.506	gi|344216363|dbj|DF094399.1|	48985
c2111098	185810	2	84.365	gi|344216363|dbj|DF094399.1|	48826
c1312508	15072	2	90.442	gi|344215570|dbj|DF093606.1|	229880
c1312508	20343	2	91.202	gi|344215570|dbj|DF093606.1|	234602
c1312508	15093	2	92.298	gi|344215570|dbj|DF093606.1|	229901
c1382470	96301	2	92.335	gi|344216171|dbj|DF094207.1|	175981
c1691015	65996	2	93.411	gi|344215747|dbj|DF093783.1|	8967
c1621631	117328	2	93.919	gi|344215570|dbj|DF093606.1|	100292
c1895421	179744	2	95.439	gi|344215608|dbj|DF093644.1|	377976
c2512412	271464	2	96.916	gi|344215940|dbj|DF093976.1|	114900
c1621631	82628	2	98.448	gi|344215570|dbj|DF093606.1|	137115
c2512412	136063	2	99.975	gi|344214933|dbj|DF097140.1|	8142
c2111098	184423	2	100.544	gi|344216363|dbj|DF094399.1|	50206
c2493125	614191	2	104.882	gi|344213650|dbj|DF095844.1|	7884
c2046414	72511	2	105.141	gi|344215696|dbj|DF093732.1|	79870
c2493125	340830	2	105.481	gi|344215768|dbj|DF093804.1|	210295
c2493125	459929	2	106.305	gi|344215768|dbj|DF093804.1|	319638
c2096175	73590	2	107.551	gi|344216500|dbj|DF094536.1|	54314
c2493125	70672	2	108.778	gi|344216951|dbj|DF094987.1|	57850
c1891549	616837	3	0	gi|344215597|dbj|DF093633.1|	606818
c1276390	188539	3	1.95	gi|344215617|dbj|DF093653.1|	186374
c1891549	239080	3	9.032	gi|344215597|dbj|DF093633.1|	255613
c1891549	239080	3	9.032	gi|344215597|dbj|DF093633.1|	256241
c231001	111337	3	9.047	gi|344215889|dbj|DF093925.1|	102354
c231001	184131	3	9.846	gi|344215889|dbj|DF093925.1|	166618
c2407255	793780	3	12.08	gi|344215592|dbj|DF093628.1|	71425
c671891	107822	3	13.832	gi|344215617|dbj|DF093653.1|	450153
c2407255	793772	3	14.127	gi|344215592|dbj|DF093628.1|	71431
c2407255	474916	3	14.994	gi|344215592|dbj|DF093628.1|	374318
c1891549	379080	3	15.607	gi|344215597|dbj|DF093633.1|	383784
c2407255	487566	3	15.962	gi|344215592|dbj|DF093628.1|	363208
c2219165	44220	3	17.325	gi|344215889|dbj|DF093925.1|	239139
c2219165	35448	3	17.966	gi|344215889|dbj|DF093925.1|	229001
c2219165	50468	3	19.355	gi|344215889|dbj|DF093925.1|	243870
c2219165	50469	3	19.355	gi|344215889|dbj|DF093925.1|	243871
c2407255	190941	3	20.471	gi|344215592|dbj|DF093628.1|	635345
c2407255	190944	3	20.71	gi|344215592|dbj|DF093628.1|	635342
c2407255	253021	3	21.405	gi|344215592|dbj|DF093628.1|	568868
c1345881	209314	3	22.424	gi|344215571|dbj|DF093607.1|	200749
c2031013	91561	3	24.261	gi|344215835|dbj|DF093871.1|	222695
c483459	47829	3	24.324	gi|344213466|dbj|DF095673.1|	43538
c1345881	212640	3	24.376	gi|344215571|dbj|DF093607.1|	204059
c1489382	335904	3	24.485	gi|344215571|dbj|DF093607.1|	602050
c1489382	256542	3	24.812	gi|344215571|dbj|DF093607.1|	678789
c1004561	21687	3	25.004	gi|344217195|dbj|DF095230.1|	24818
c1489382	291504	3	25.044	gi|344215571|dbj|DF093607.1|	645101
c1489382	306698	3	25.851	gi|344215571|dbj|DF093607.1|	629892
c1401140	190669	3	27.264	gi|344215571|dbj|DF093607.1|	386776
c1345881	232957	3	27.591	gi|344215571|dbj|DF093607.1|	223230
c483459	42390	3	28.705	gi|344213466|dbj|DF095673.1|	38100
c483459	42378	3	29.377	gi|344213466|dbj|DF095673.1|	38088
c1269642	145954	3	30.913	gi|344216461|dbj|DF094497.1|	132063
c1345881	265466	3	31.545	gi|344215571|dbj|DF093607.1|	254944
c1269642	77931	3	31.751	gi|344216461|dbj|DF094497.1|	58868
c1811763	28016	3	32.284	gi|344215931|dbj|DF093967.1|	136248
c1261582	79716	3	39.814	gi|344215816|dbj|DF093852.1|	222952
c1957995	34610	3	41.219	gi|344216868|dbj|DF094904.1|	75894
c2379886	339118	3	42.824	gi|344216017|dbj|DF094053.1|	115389
c2379886	418511	3	43.854	gi|344216017|dbj|DF094053.1|	192122
c2295915	248101	3	44.098	gi|344215991|dbj|DF094027.1|	57569
c704122	39924	3	44.487	gi|344216615|dbj|DF094651.1|	102206
c1743069	137453	3	48.34	gi|344216607|dbj|DF094643.1|	75715
c1356045	159446	3	49.876	gi|344216232|dbj|DF094268.1|	2404
c49388	228170	3	51.419	gi|344217030|dbj|DF095065.1|	14286
c1353115	22964	3	52.723	gi|344216665|dbj|DF094701.1|	31131
c1364642	10908	3	54.497	gi|344214792|dbj|DF096999.1|	2062
c1356045	16052	3	55.485	gi|344216232|dbj|DF094268.1|	89712
c1356045	16053	3	55.485	gi|344216232|dbj|DF094268.1|	89712
c1194010	51423	3	56.946	gi|344216590|dbj|DF094626.1|	58489
c917489	326538	3	57.283	gi|344215607|dbj|DF093643.1|	428986
c353117	17784	3	57.816	gi|344215589|dbj|DF093625.1|	186501
c49388	145637	3	59.431	gi|344215756|dbj|DF093792.1|	101146
c49388	145637	3	59.431	gi|344215756|dbj|DF093792.1|	83159
c49388	145637	3	59.431	gi|344215756|dbj|DF093792.1|	85122
c917489	326517	3	59.665	gi|344215607|dbj|DF093643.1|	428965
c1004561	60300	3	60.837	gi|344217195|dbj|DF095230.1|	68965
c1403335	135194	3	61.175	gi|344215629|dbj|DF093665.1|	398039
c1403335	135196	3	61.489	gi|344215629|dbj|DF093665.1|	398037
c1194010	69111	3	64.677	gi|344216590|dbj|DF094626.1|	75119
c49405	2780	3	65.646	gi|344217330|dbj|DF095365.1|	54048
c2363907	90359	3	66.932	gi|344215756|dbj|DF093792.1|	268024
c1541648	60882	3	69.834	gi|344216320|dbj|DF094356.1|	45709
c2467517	210137	3	71.355	gi|344216779|dbj|DF094815.1|	72628
c738796	320901	3	74.206	gi|344215917|dbj|DF093953.1|	205599
c507276	980	3	78.483	gi|344214472|dbj|DF096679.1|	19859
c507276	980	3	78.483	gi|344214472|dbj|DF096679.1|	22498
c1235448	130870	3	79.27	gi|344215968|dbj|DF094004.1|	221776
c1235448	130870	3	79.27	gi|344215968|dbj|DF094004.1|	227332
c2321558	374596	3	80.64	gi|344215591|dbj|DF093627.1|	113456
c2321558	513371	3	81.661	gi|344215591|dbj|DF093627.1|	244447
c1112596	90063	3	82.303	gi|344215637|dbj|DF093673.1|	82647
c42190	85329	3	83.337	gi|344215637|dbj|DF093673.1|	239735
c58483	42224	3	83.77	gi|344215908|dbj|DF093944.1|	80663
c1112596	96297	3	84.548	gi|344215637|dbj|DF093673.1|	86465
c58483	265665	3	85.664	gi|344216462|dbj|DF094498.1|	1019
c1235448	263409	3	87.534	gi|344216150|dbj|DF094186.1|	16304
c2214146	98321	3	88.593	gi|344216784|dbj|DF094820.1|	28294
c2214146	123509	3	89.667	gi|344216784|dbj|DF094820.1|	3930
c1467554	122417	3	94.065	gi|344217087|dbj|DF095122.1|	31585
c58483	232928	3	97.089	gi|344215908|dbj|DF093944.1|	243972
c1112596	115586	3	104.028	gi|344215637|dbj|DF093673.1|	102977
c2516308	230246	4	0	gi|344215619|dbj|DF093655.1|	133876
c196579	341395	4	13.054	gi|344215786|dbj|DF093822.1|	254251
c1253424	117644	4	25.446	gi|344217384|dbj|DF095419.1|	45406
c2121679	177128	4	30.572	gi|344215604|dbj|DF093640.1|	318449
c2173185	73410	4	31.478	gi|344215806|dbj|DF093842.1|	230266
c1253424	301317	4	32.161	gi|344215708|dbj|DF093744.1|	282655
c1902022	109112	4	34.337	gi|344215725|dbj|DF093761.1|	287301
c1809197	62675	4	35.219	gi|344216424|dbj|DF094460.1|	5812
c1506025	13088	4	35.575	gi|344215775|dbj|DF093811.1|	17085
c1506025	70188	4	35.783	gi|344215775|dbj|DF093811.1|	85776
c885254	86963	4	36.936	gi|344215797|dbj|DF093833.1|	271885
c1448495	144268	4	37.107	gi|344215600|dbj|DF093636.1|	609632
c1774267	98071	4	37.669	gi|344216400|dbj|DF094436.1|	65208
c2043012	51641	4	38.083	gi|344215667|dbj|DF093703.1|	204441
c1774267	223848	4	39.47	gi|344216986|dbj|DF095021.1|	58245
c885254	53487	4	39.967	gi|344215797|dbj|DF093833.1|	304146
c1451773	82350	4	40.02	gi|344215730|dbj|DF093766.1|	282061
c542834	69588	4	40.127	gi|344215730|dbj|DF093766.1|	151749
c2173185	51142	4	41.358	gi|344215806|dbj|DF093842.1|	207953
c2433039	218890	4	41.451	gi|344216062|dbj|DF094098.1|	33967
c1774267	115316	4	41.979	gi|344215982|dbj|DF094018.1|	115427
c1078092	5174	4	44.799	gi|344216438|dbj|DF094474.1|	83466
c2402279	149574	4	46.859	gi|344215783|dbj|DF093819.1|	113438
c1709479	68082	4	47.119	gi|344213450|dbj|DF095657.1|	57419
c2433039	703204	4	50.056	gi|344214343|dbj|DF096547.1|	12888
c2165933	272315	4	52.392	gi|344216032|dbj|DF094068.1|	106971
c2165933	272315	4	52.392	gi|344216032|dbj|DF094068.1|	101549
c2165933	272317	4	52.392	gi|344216032|dbj|DF094068.1|	106969
c2165933	272317	4	52.392	gi|344216032|dbj|DF094068.1|	101547
c692458	42809	4	53.978	gi|344215698|dbj|DF093734.1|	291603
c692458	42830	4	53.978	gi|344215698|dbj|DF093734.1|	291582
c1571214	184436	4	55.924	gi|344216145|dbj|DF094181.1|	47896
c2477173	162579	4	56.222	gi|344215723|dbj|DF093759.1|	106989
c1371088	43225	4	56.303	gi|344215611|dbj|DF093647.1|	504882
c1571214	159544	4	57.177	gi|344216145|dbj|DF094181.1|	69655
c1784202	164943	4	59.054	gi|344215611|dbj|DF093647.1|	140866
c1813332	282421	4	59.897	gi|344215866|dbj|DF093902.1|	142370
c1784202	164947	4	60.756	gi|344215611|dbj|DF093647.1|	140870
c1813332	339211	4	61.431	gi|344215866|dbj|DF093902.1|	193251
c1901282	27240	4	61.812	gi|344216763|dbj|DF094799.1|	72140
c1901282	96718	4	62.88	gi|344216763|dbj|DF094799.1|	8679
c697924	263052	4	64.199	gi|344216388|dbj|DF094424.1|	80231
c1901282	95034	4	64.226	gi|344216763|dbj|DF094799.1|	10368
c2412538	483912	4	65.881	gi|344215778|dbj|DF093814.1|	207832
c2412538	331094	4	67.34	gi|344214063|dbj|DF096259.1|	12411
c2412538	664918	4	68.509	gi|344215823|dbj|DF093859.1|	46585
c2412538	387840	4	69.825	gi|344215778|dbj|DF093814.1|	117627
c2412538	387846	4	69.825	gi|344215778|dbj|DF093814.1|	117633
c2445836	205639	4	70.598	gi|344215621|dbj|DF093657.1|	297652
c1064125	62946	4	72.093	gi|344216405|dbj|DF094441.1|	82708
c2396761	68095	4	74.204	gi|344215771|dbj|DF093807.1|	169501
c1326140	101031	4	77.424	gi|344215766|dbj|DF093802.1|	248875
c738100	34811	4	78.41	gi|344216927|dbj|DF094963.1|	90041
c738100	34811	4	78.41	gi|344216927|dbj|DF094963.1|	96943
c1326140	360919	4	78.455	gi|344215766|dbj|DF093802.1|	4744
c1874708	150591	4	79.09	gi|344216805|dbj|DF094841.1|	49004
c1326140	15171	4	79.521	gi|344215766|dbj|DF093802.1|	332668
c738100	34820	4	80.981	gi|344216927|dbj|DF094963.1|	90050
c738100	34820	4	80.981	gi|344216927|dbj|DF094963.1|	96952
c2396761	335716	4	81.376	gi|344215731|dbj|DF093767.1|	101893
c2259337	128486	4	84.133	gi|344216147|dbj|DF094183.1|	32784
c2259337	128486	4	84.133	gi|344216147|dbj|DF094183.1|	39183
c1616442	23695	4	85.89	gi|344215978|dbj|DF094014.1|	219040
c1399127	122172	4	88.051	gi|344216895|dbj|DF094931.1|	89011
c1399127	54829	4	89.815	gi|344217227|dbj|DF095262.1|	72587
c327712	41119	4	91.426	gi|344216457|dbj|DF094493.1|	67932
c2221032	148735	4	94.383	gi|344215799|dbj|DF093835.1|	64310
c591113	73462	4	95.708	gi|344216317|dbj|DF094353.1|	66422
c2221032	148737	4	96.053	gi|344215799|dbj|DF093835.1|	64310
c1597072	55984	4	97.516	gi|344215684|dbj|DF093720.1|	383889
c2303629	43251	4	98.918	gi|344217228|dbj|DF095263.1|	37793
c1597072	115336	4	99.436	gi|344215684|dbj|DF093720.1|	321131
c591113	53755	4	100.05	gi|344216317|dbj|DF094353.1|	48848
c2516308	333838	4	102.144	gi|344215619|dbj|DF093655.1|	263636
c1617727	142761	4	103.994	gi|344216138|dbj|DF094174.1|	123459
c2150838	411087	4	106.369	gi|344215596|dbj|DF093632.1|	90485
c1023312	149130	5	7.074	gi|344216440|dbj|DF094476.1|	59849
c1463175	42494	5	8.32	gi|344215752|dbj|DF093788.1|	128536
c2150468	95146	5	15.021	gi|344216698|dbj|DF094734.1|	87840
c2102192	24084	5	17.743	gi|344215764|dbj|DF093800.1|	28418
c505215	1260	5	19.712	gi|344216038|dbj|DF094074.1|	160437
c711471	53743	5	20.957	gi|344216038|dbj|DF094074.1|	100502
c2171152	148188	5	22.18	gi|344215878|dbj|DF093914.1|	209780
c1048972	129541	5	24.949	gi|344215883|dbj|DF093919.1|	97360
c1463175	72035	5	26.37	gi|344215752|dbj|DF093788.1|	162953
c1370645	157871	5	28.098	gi|344216124|dbj|DF094160.1|	54382
c2171152	148183	5	28.975	gi|344215878|dbj|DF093914.1|	209775
